name,brewery_type,city,postal_code,website_url,state,colorado_cup_medal,colorado_cup_category,colorado_cup_beer,gabf_medal,gabf_category,gabf_beer,population,povertyRate
Primitive Beer LLC,micro,Longmont,80504,http://www.Primitive.beer,Colorado,Colorado Cup Winner,Brett & Wild Beers,Stable Of Stars,,,,54992,0.164
Prost Brewing,micro,Denver,80211,http://www.prostbrewing.com,Colorado,,,,Gold,German-Style Schwarzbier,Prost Schwarzbier,35310,0.166
Prost Brewing - Highlands Ranch,micro,Highlands Ranch,80129,https://www.prostbrewing.com/,Colorado,,,,Gold,Vienna-Style Lager,Prost Vienna Lager,31244,0.121
Pug Ryan's Brewing Company,brewpub,Dillon,80435,http://www.pugryans.com,Colorado,,,,,,,7628,0.185
Pumphouse Brewery and Restaurant,brewpub,Longmont,80501,http://www.pumphousebrewery.com,Colorado,,,,,,,41671,0.231
Purpose Brewing and Cellars,micro,Fort Collins,80525,http://www.purposebrewing.com,Colorado,,,,,,,54872,0.239
Raices Brewing Co,planning,Denver,80204,http://www.raicesbrewing.com,Colorado,,,,,,,33181,0.258
Rails End Beer Company,micro,Broomfield,80020,http://www.railsendbeerco.com,Colorado,,,,,,,50314,0.141
Rally King Brewing,micro,Fort Collins,80525,http://www.rallykingbrewing.com,Colorado,,,,,,,54872,0.239
Ramskeller,planning,Fort Collins,80523,,Colorado,,,,,,,,
Rancho De Lomi Brewing,planning,Laporte,80535,,Colorado,,,,,,,2596,0.327
RARE by Grist Brewing,closed,Lone Tree,80124,,Colorado,,,,,,,21264,0.139
Ratio Beerworks,micro,Denver,80205,http://ratiobeerworks.com,Colorado,Colorado Cup Winner,American & International Pale Lagers,Cityscapes,Bronze,American-Belgo-Style Ale,Dear You,34767,0.223
Red Leg Brewing Company,micro,Colorado Springs,80907,http://www.redlegbrewingco.com,Colorado,,,,,,,28372,0.251
Red Mountain Brewing,brewpub,Ouray,81427,http://www.redmountainbrewingouray.com,Colorado,,,,,,,1117,0.228
Red Truck Beer Company,planning,Denver,80216,,Colorado,,,,,,,13029,0.226
Red Truck Beer Company Ltd.,micro,Fort Collins,80524,,Colorado,,,,,,,36122,0.334
Redgarden Brewery,brewpub,Louisville,80027,http://www.redgardenbrewery.com,Colorado,,,,,,,33830,0.18
Renegade Brewing Company,micro,Denver,80223,http://renegadebrewing.com,Colorado,,,,,,,19969,0.202
Renegade Brewing Company - Production,micro,Denver,80223,http://www.renegadebrewing.com,Colorado,,,,,,,19969,0.202
Resolute Brewing Company,micro,Centennial,80112,http://www.resolutebrewingco.com,Colorado,Colorado Cup Winner,Pale Malty European Lagers,Front Porch,,,,32311,0.105
Rhythm River Brewing Company,planning,Longmont,80504,http://www.rhythmriverbrewing.com,Colorado,,,,,,,54992,0.164
Riff Raff Brewing,brewpub,Pagosa Springs,81147,http://www.riffraffbrewing.com,Colorado,,,,,,,12484,0.193
River North Brewery,micro,Denver,80216,http://www.rivernorthbrewery.com,Colorado,Colorado Cup Winner,Strong Classic UK & North American Ales,Hello Darkness,,,,13029,0.226
River North Brewery,micro,Denver,80216,http://www.rivernorthbrewery.com,Colorado,Colorado Cup Winner,Strong Classic UK & North American Ales,Mr. Sandman,,,,13029,0.226
River North Brewery,micro,Denver,80216,http://www.rivernorthbrewery.com,Colorado,Colorado Cup Winner,"Coffee, Chocolate, & Dessert Beers",Nightmare Fuel,,,,13029,0.226
River North Brewery,micro,Denver,80216,http://www.rivernorthbrewery.com,Colorado,Colorado Cup Winner,Belgian and French Ales,River North White,Gold,Belgian-Style or French-Style Specialty Ale,River North White,13029,0.226
River North Brewery,micro,Denver,80216,http://www.rivernorthbrewery.com,Colorado,,,,Gold,Coffee Beer,Squirrels Just Want to Have Fun,13029,0.226
River North Brewery - RiNo,planning,Denver,80205,http://www.rivernorthbrewery.com,Colorado,,,,,,,34767,0.223
Roaring Fork Beer Company,proprietor,Carbondale,81623,http://www.roaringforkbeerco.com,Colorado,,,,,,,16977,0.212
Rock Bottom Brewery - Centerra Promenade,brewpub,Loveland,80538,http://www.rockbottom.com,Colorado,,,,,,,48751,0.192
Rock Bottom Brewery - Colorado Springs,brewpub,Colorado Springs,80922,http://www.rockbottom.com,Colorado,,,,,,,29161,0.148
Rock Bottom Brewery - Denver,brewpub,Denver,80265,http://www.rockbottom.com,Colorado,,,,,,,,
Rock Bottom Brewery - Englewood,brewpub,Englewood,80112,http://www.rockbottom.com,Colorado,,,,,,,32311,0.105
Rock Bottom Brewery - Highlands Ranch,brewpub,Highlands Ranch,80129,,Colorado,,,,,,,31244,0.121
Rock Bottom Brewery - Orchard Cntr,brewpub,Westminster,80023,http://www.rockbottom.com,Colorado,,,,,,,22584,0.089
Rock Bottom Brewery - Westminster,brewpub,Westminster,80020,http://www.rockbottom.com,Colorado,,,,,,,50314,0.141
Rock Cut Brewing Company,micro,Estes Park,80517,http://www.rockcutbrewing.com,Colorado,,,,,,,10344,0.182
Rockslide Brewing Co,brewpub,Grand Junction,81501,http://www.rockslidebrewpub.com,Colorado,,,,,,,21445,0.351
Rocky Mountain Brewery,micro,Colorado Springs,80915,http://www.rockymountainbrews.com,Colorado,,,,,,,21478,0.195
"Rocky Mountain Taphouse, LLC",micro,Greeley,80634,http://www.rockymountaintaphouse.com,Colorado,,,,,,,59255,0.233
Rockyard Brewing Company,brewpub,Castle Rock,80109,http://www.rockyard.com,Colorado,,,,,,,23185,0.133
Royal Gorge Brew Pub,brewpub,Canon City,81212,http://www.royalgorgebrewing.com,Colorado,,,,,,,23696,0.276
Rule105 Brewing,micro,Greeley,80634,http://www.rule105brewing.com/,Colorado,,,,,,,59255,0.233
Rustica Brewing Company,micro,Denver,80223,http://www.rusticabrewery.com,Colorado,,,,,,,19969,0.202
Saint Patrick's Brewing Company,micro,Littleton,80120,http://www.stpatricksbrewco.com,Colorado,,,,,,,31356,0.194
San Luis Valley Brewing Co,brewpub,Alamosa,81101,http://www.slvbrewco.com,Colorado,,,,,,,14039,0.395
Sanitas Brewing Co,micro,Boulder,80301,http://www.sanitasbrewing.com/,Colorado,,,,,,,24783,0.165
Sanitas Brewing Co - Englewood,micro,Englewood,80110,http://www.sanitasbrewing.com/,Colorado,,,,,,,22660,0.174
Seedstock Brewery,micro,Denver,80204,http://www.seedstockbrewery.com,Colorado,Colorado Cup Winner,Amber Lagers,Seedstock Bohemian Dunkel,,,,33181,0.258
Seedstock Brewery,micro,Denver,80204,http://www.seedstockbrewery.com,Colorado,Colorado Cup Winner,Dark Lagers,Seedstock Roggen Schwarzbier,,,,33181,0.258
Seedstock Brewery,micro,Denver,80204,http://www.seedstockbrewery.com,Colorado,Colorado Cup Winner,Pale Bitter European Lagers,Seedstock German Pilsner,,,,33181,0.258
Shamrock Brewing Company,brewpub,Pueblo,81003,http://www.shamrockbrewing.com,Colorado,,,,,,,12761,0.342
Sherpa Brewery Pvt. Ltd.,contract,Golden,80401,,Colorado,,,,,,,39413,0.276
Shoes & Brews,micro,Longmont,80501,http://www.shoesbrews.com,Colorado,,,,,,,41671,0.231
SKA Brewing,regional,Durango,81303,,Colorado,,,,,,,7909,0.187
Sleeping Giant Brewing Company,micro,Denver,80204,http://www.sleepinggiantbrewing.com,Colorado,,,,,,,33181,0.258
Smiling Toad Brewery,micro,Colorado Springs,80905,http://www.smilingtoadbrewery.com,Colorado,,,,,,,16130,0.211
Smuggler's Brewpub,brewpub,Telluride,81435,http://www.smugglersbrewpub.com,Colorado,,,,,,,5227,0.223
Snowbank Brewing,micro,Fort Collins,80524,http://www.snowbank.beer,Colorado,,,,,,,36122,0.334
SomePlace Else Brewery,micro,Arvada,80002,,Colorado,,,,,,,18846,0.207
Something Brewery,micro,Brighton,80601,http://www.somethingbrewery.com,Colorado,,,,,,,38968,0.166
Soul Squared Brewing Co.,micro,Fort Collins,80524,http://www.soulsquaredbrewing.com,Colorado,,,,,,,36122,0.334
Soulcraft Brewing,micro,Salida,81201,http://www.soulcraftbeer.com,Colorado,,,,,,,9340,0.218
South Park Brewing,micro,Fairplay,80440,http://www.southparkbrewingco.com,Colorado,,,,,,,2412,0.347
Southern Sun Pub and Brewery,brewpub,Boulder,80305,http://www.mountainsunpub.com,Colorado,,,,,,,17085,0.273
Spangalang Brewery,micro,Denver,80205,http://www.spangalangbrewery.com,Colorado,,,,,,,34767,0.223
Spice Trade Brewing,brewpub,Arvada,80002,http://www.spicetradebrewing.com,Colorado,,,,,,,18846,0.207
Square Peg Brewerks,micro,Alamosa,81101,http://www.squarepegbrewerks.com,Colorado,,,,,,,14039,0.395
SS Fermentations Ltd.,planning,Montrose,81401,,Colorado,,,,,,,22141,0.299
Station 26 Brewing Co,micro,Denver,80207,http://www.station26brewing.co,Colorado,Colorado Cup Winner,Strong & Imperial Hoppy Beers,11th Anniversary Double IPA,,,,26495,0.24
Steamworks Brewing Co,brewpub,Durango,81301,http://www.steamworksbrewing.com,Colorado,,,,Gold,Oatmeal Stout,Backside Stout,29392,0.2
Stein Brewing Company,micro,Boulder,80301,http://www.jwellsbrewery.com,Colorado,,,,,,,24783,0.165
Stoik Beer Company,planning,Delta,81416,http://www.stoikbeer.com,Colorado,,,,,,,13082,0.318
Storm Peak Brewing Company,micro,Steamboat Springs,80487,http://www.stormpeakbrewing.com,Colorado,,,,,,,17692,0.215
Storybook Brewing,micro,Colorado Springs,80907,http://www.storybookbrewing.com,Colorado,,,,,,,28372,0.251
Strange Craft Beer Co,micro,Denver,80204,http://www.strangecraft.com,Colorado,Colorado Cup Winner,Fruit & Field Beers,Cherry Kriek,,,,33181,0.258
Stronghouse Brewery,planning,Telluride,81435,,Colorado,,,,,,,5227,0.223
Suds Brothers Brewing Co #2,brewpub,Fruita,81521,http://www.sudsbrothers2fruita.com,Colorado,,,,,,,16210,0.188
Teachers Lounge Brewing,planning,Denver,80210,http://www.eachersloungebrewing.com,Colorado,,,,,,,34639,0.207
Telluride Brewing Co,micro,Telluride,81435,http://www.telluridebrewingco.com,Colorado,Colorado Cup Winner,Malty North American Beers,Face Down Brown,,,,5227,0.223
The Bakers' Brewery,brewpub,Silverthorne,80498,http://www.thebakersbrewery.com,Colorado,,,,,,,7993,0.073
The Brew On Broadway (The BoB),micro,Englewood,80113,http://www.thebrewonbroadway.com,Colorado,,,,,,,22956,0.183
The Grateful Gnome Sandwich Shoppe and Brewery,brewpub,Denver,80212,http://www.thegratefulgnome.com,Colorado,,,,,,,19446,0.192
The Intrepid Sojourner Beer Project,micro,Denver,80204,http://sojournerbeers.com,Colorado,,,,,,,33181,0.258
The Larimer Beer Company,contract,Denver,80207,http://www.thelarimer.com,Colorado,,,,,,,26495,0.24
The Peak Brewing Company,brewpub,Winter Park,80482,http://www.thepeakwp.com,Colorado,,,,,,,831,0.038
The Post Brewing Co,brewpub,Boulder,80302,http://www.postbrewing.com,Colorado,,,,,,,27428,0.529
The Post Brewing Co,brewpub,Lafayette,80026,http://www.postbrewing.com,Colorado,Colorado Cup Winner,Experimental & Specialty Beers,East County Fine Malt Liquor,,,,30635,0.146
The Sandlot Brewery At Coors Field,large,Denver,80205,http://www.millercoors.com,Colorado,,,,Gold,Fruit Wheat BeerCategory Sponsor:Amoretti,Key Lime Pie in the Sky,34767,0.223
Thirsty Monk Pub Brewery,micro,Denver,80218,,Colorado,,,,,,,19183,0.158
Three Barrel Brewing Co,brewpub,del Norte,81132,http://www.threebarrelbrew.com,Colorado,,,,,,,3183,0.255
Three Four Beer Company,brewpub,Fort Collins,80521,http://www.threefourbeerco.com,Colorado,,,,,,,30785,0.458
Tightknit Brewing Co,brewpub,Greeley,80631,http://tightknitbrewing.com/,Colorado,,,,,,,50069,0.411
Tilted Barrel Brew Pub,contract,Loveland,80538,http://www.tiltedbarrelbrewpub.com,Colorado,,,,,,,48751,0.192
Timnath Beerwerks,planning,Timnath,80547,,Colorado,,,,,,,2574,0.125
Tivoli Brewing Company,micro,Denver,80204,,Colorado,,,,,,,33181,0.258
Tom's Urban Kitchen and Brewery,planning,Denver,80249,,Colorado,,,,,,,32498,0.161
Tommyknocker Brewery & Pub,micro,Idaho Springs,80452,http://www.tommyknocker.com,Colorado,,,,,,,3126,0.241
Trinity Brewing,brewpub,Colorado Springs,80907,http://www.trinitybrew.com,Colorado,,,,,,,28372,0.251
TRVE Brewing Co,micro,Denver,80219,http://trvebrewing.com,Colorado,,,,,,,70337,0.301
TRVE Brewing Co. - The Acid Temple,micro,Denver,80219,,Colorado,,,,,,,70337,0.301
Tumbleweed Brewing and Wine Company,brewpub,Yuma,80759,http://www.tumbleweedbrewing.com,Colorado,,,,,,,4410,0.311
Twisted Pine Brewing Co,brewpub,Boulder,80301,http://www.twistedpinebrewing.com,Colorado,,,,,,,24783,0.165
Two Rascals Brewing Co,micro,Montrose,81401,http://www.tworascalsbrewing.com,Colorado,,,,,,,22141,0.299
Two22 Brew,micro,Centennial,80015,http://www.two22brew.com,Colorado,,,,,,,69087,0.129
Unify Brewing Company,planning,Glenwood Springs,81601,http://www.UnifyBrewing.com,Colorado,,,,,,,15019,0.13
"Unnamed Beer Company, LLC",planning,Boulder,80301,http://www.unnamedbeer.com,Colorado,,,,,,,24783,0.165
Upslope Brewing Company,planning,Boulder,80301,,Colorado,,,,,,,24783,0.165
Upslope Brewing Company - Flatiron Park,micro,Boulder,80301,http://www.upslopebrewing.com,Colorado,,,,,,,24783,0.165
Upslope Brewing Company - Lee Hill,regional,Boulder,80304,http://www.upslopebrewing.com,Colorado,,,,,,,26096,0.146
Ursula Brewery,micro,Aurora,80045,http://www.ursulabrewery.com,Colorado,,,,,,,901,0.466
Ute Pass Brewing Co,brewpub,Woodland Park,80863,http://www.utepassbrewingcompany.com,Colorado,,,,,,,13020,0.18
Uturn BBQ,brewpub,Lafayette,80026,http://www.uturnbbq.com,Colorado,,,,,,,30635,0.146
Vail Brewing Company,micro,Vail,81657,http://www.vailbrewingco.com,Colorado,,,,,,,5847,0.145
Verboten Brewing,micro,Loveland,80537,http://www.verbotenbrewing.com,Colorado,Colorado Cup Winner,Strong Classic UK & North American Ales,Grow Old With You,,,,43100,0.143
Verboten Brewing,micro,Loveland,80537,http://www.verbotenbrewing.com,Colorado,Colorado Cup Winner,"Coffee, Chocolate, & Dessert Beers",Others in Darkness: Irish Coffee,,,,43100,0.143
Very Nice Brewing Co,micro,Nederland,80466,http://www.verynicebrewing.com,Colorado,,,,,,,3541,0.298
Veteran Brothers Brewing Company,brewpub,Johnstown,80534,https://www.facebook.com/veteranbrothersbrew,Colorado,,,,,,,17118,0.1
Vine Street Pub & Brewery,brewpub,Denver,80206,http://www.mountainsunpub.com,Colorado,,,,,,,24697,0.151
Vision Quest Brewing Company,micro,Boulder,80301,http://www.visionquestbrewing.com,Colorado,,,,,,,24783,0.165
Walter Brewing Company,micro,Pueblo,81003,http://www.waltersbeer.com,Colorado,,,,,,,12761,0.342
WeldWerks Brewing Co.,micro,Greeley,80631,http://www.weldwerksbrewing.com,Colorado,,,,,,,50069,0.411
West Flanders Brewing Co,brewpub,Boulder,80302,http://www.wfbrews.com,Colorado,,,,,,,27428,0.529
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,Colorado Cup Winner,American & International Pale Lagers,Landing Gear Pils,,,,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,Colorado Cup Winner,"Golden, Blonde, & Other Light Ales",The Coloradan,,,,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,Colorado Cup Winner,Standard American-Style IPAs,Westbound Select,,,,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,Colorado Cup Winner,Standard International & Experimental Hoppy Beers,Spirit of the West,,,,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,,,,Gold,West Coast IPACategory Sponsor:Wyeast Laboratories,How the West Was One: Mosaic,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,,,,Gold,American-Style Pale AleCategory Sponsor:Angel Yeast,Parallel Pale,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,Colorado Cup Winner,Standard American-Style IPAs,Westbound IPA,Bronze,American-Style Strong Pale Ale,Westbound IPA,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,Colorado Cup Winner,Hoppy Pale American & International Lagers,Infinity Pils,Silver,Hoppy Lager,Infinity Pils,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,,,,Gold,Italian-Style Pilsener,Westbound Italian Pils,3126,0.241
Westbound & Down Brewing Company,brewpub,Idaho Springs,80452,http://www.westboundanddown.com,Colorado,,,,Silver,Session India Pale Ale,Scenic Route,3126,0.241
Westbound and Down,planning,Denver,80204,,Colorado,,,,Bronze,Wood- and Barrel-Aged Strong Beer,Moroccan Christmas,33181,0.258
WestFax Brewing Co.,micro,Lakewood,80214,http://www.westfaxbrewingcompany.com,Colorado,Colorado Cup Winner,Hoppy Pale American & International Lagers,Pillieve,,,,25609,0.182
Westminster Brewing Co,micro,Westminster,80021,http://westminsterbrewingco.com,Colorado,,,,,,,33743,0.141
Whistle Pig Brewing Company,micro,Colorado Springs,80918,http://www.whistlepigbrewing.com,Colorado,,,,,,,47294,0.199
Wibby Brewing,micro,Longmont,80501,http://www.wibbybrewing.com,Colorado,Colorado Cup Winner,Dark Lagers,Moondoor Dunkel,,,,41671,0.231
Wild Blue Yonder Brewing,brewpub,Castle Rock,80104,https://wildblueyonderbrewing.com/,Colorado,,,,Bronze,Wood- and Barrel-Aged Strong Beer,Moroccan Christmas,31278,0.15
Wild Woods Brewery,micro,Boulder,80301,http://www.wildwoodsbrewery.com,Colorado,,,,,,,24783,0.165
WildEdge Brewing Collective,brewpub,Cortez,81321,http://www.wildedgebrewing.com,Colorado,,,,,,,14776,0.322
Wiley Roots Brewing Co,micro,Greeley,80631,http://www.wileyrootsbrewing.com,Colorado,,,,,,,50069,0.411
Wit's End Brewing Co,micro,Denver,80204,http://www.witsendbrewing.com,Colorado,,,,,,,33181,0.258
Wonderland Brewing Co.,micro,Broomfield,80020,http://www.wonderlandbrewing.com,Colorado,Colorado Cup Winner,Experimental & Specialty Beers,Oily Oaf,,,,50314,0.141
Woods Boss Brewing Company,micro,Denver,80205,http://www.woodsbossbrew.com,Colorado,,,,,,,34767,0.223
World's End Brewpub,planning,Grand Lake,80447,http://www.ourplacebrewhaus.com,Colorado,,,,,,,2328,0.231
Wynkoop Brewing Co,brewpub,Denver,80202,http://www.wynkoop.com,Colorado,,,,,,,14671,0.189
Yampa Valley Brewing Company,micro,Hayden,81639,http://www.yampavalleybrew.com,Colorado,,,,,,,2692,0.306
Yetters Brewing Company,brewpub,Greeley,80631,https://yettersbrewingcompany.com/,Colorado,,,,,,,50069,0.411
Zephyr Brewing Co,micro,Denver,80216,http://www.zephyrbrewingco.com,Colorado,,,,,,,13029,0.226
Zuni Street Brewing Company,micro,Denver,80211,http://www.zunistreetbrewing.com,Colorado,,,,,,,35310,0.166
Zwei Brewing Co,micro,Fort Collins,80525,http://www.zweibruderbrewing.com,Colorado,,,,,,,54872,0.239
Zymos Brewing,micro,Littleton,80123,http://zymosbrewing.com,Colorado,,,,,,,46381,0.121
